Step,Reward/Raw_Episode,Reward/Average_100_Episodes,Training/Success_Rate,Safety/Shield_Activations,Training/Episode_Length,Outcome/Type,Training/Learning_Rate,Loss/Policy_Loss,Loss/Value_Loss,Training/Entropy,Training/Approx_KL
1999,120.62828063964844,209.4027557373047,0.019999999552965164,0.0,145.0,3.0,0.00010019999899668619,,,,
2000,232.627197265625,210.22430419921875,0.019999999552965164,0.0,208.0,1.0,0.00010009999823523685,,,,
2001,209.2131805419922,210.26882934570312,0.019999999552965164,0.0,207.0,1.0,9.999999747378752e-05,,,,
2002,155.3018341064453,209.80056762695312,0.019999999552965164,0.0,167.0,3.0,9.989999671233818e-05,,,,
2003,221.11383056640625,209.4662628173828,0.019999999552965164,0.0,236.0,1.0,9.980000322684646e-05,,,,
2004,158.82568359375,208.1548309326172,0.019999999552965164,0.0,154.0,3.0,9.970000246539712e-05,-0.033394038677215576,0.2082623690366745,2.656911611557007,0.004785336088389158
2005,239.16351318359375,206.09933471679688,0.009999999776482582,0.0,223.0,1.0,9.960000170394778e-05,,,,
2006,267.60296630859375,207.1344757080078,0.009999999776482582,0.0,254.0,1.0,9.950000094249845e-05,,,,
2007,216.50820922851562,207.14747619628906,0.009999999776482582,0.0,225.0,1.0,9.940000018104911e-05,,,,
2008,217.23065185546875,209.16310119628906,0.009999999776482582,0.0,204.0,3.0,9.929999941959977e-05,,,,
2009,224.8520965576172,211.0141143798828,0.009999999776482582,0.0,210.0,1.0,9.919999865815043e-05,,,,
2010,8.470003128051758,209.0228271484375,0.009999999776482582,0.0,53.0,3.0,9.90999978967011e-05,,,,
2011,253.18405151367188,208.44622802734375,0.009999999776482582,0.0,210.0,1.0,9.899999713525176e-05,,,,
2012,165.60391235351562,208.73007202148438,0.009999999776482582,0.0,162.0,1.0,9.889999637380242e-05,,,,
2013,238.39816284179688,209.52439880371094,0.009999999776482582,0.0,236.0,1.0,9.88000028883107e-05,,,,
2014,174.6801300048828,209.8035125732422,0.009999999776482582,0.0,191.0,1.0,9.870000212686136e-05,0.03449278324842453,0.22452132403850555,2.6561145782470703,0.0031804777681827545
2015,189.56959533691406,209.34666442871094,0.009999999776482582,0.0,203.0,1.0,9.860000136541203e-05,,,,
2016,174.2047882080078,209.40065002441406,0.009999999776482582,0.0,175.0,1.0,9.850000060396269e-05,,,,
2017,215.0476531982422,209.92674255371094,0.009999999776482582,0.0,221.0,1.0,9.839999984251335e-05,,,,
2018,170.66885375976562,209.33001708984375,0.009999999776482582,0.0,179.0,3.0,9.829999908106402e-05,,,,
2019,167.67340087890625,208.8691864013672,0.009999999776482582,0.0,179.0,3.0,9.819999831961468e-05,,,,
2020,232.4638671875,208.8818359375,0.009999999776482582,0.0,242.0,1.0,9.809999755816534e-05,,,,
2021,158.4219970703125,207.5078887939453,0.009999999776482582,0.0,164.0,1.0,9.7999996796716e-05,,,,
2022,251.84693908691406,207.54722595214844,0.009999999776482582,0.0,234.0,1.0,9.790000331122428e-05,,,,
2023,182.3695068359375,207.71994018554688,0.009999999776482582,0.0,181.0,1.0,9.780000254977494e-05,,,,
2024,255.27310180664062,209.89682006835938,0.009999999776482582,0.0,202.0,1.0,9.770000178832561e-05,,,,
2025,213.59555053710938,209.60137939453125,0.009999999776482582,0.0,230.0,1.0,9.760000102687627e-05,-0.02380513586103916,0.14148695766925812,2.655616044998169,0.0028181830421090126
2026,182.24142456054688,208.3944091796875,0.009999999776482582,0.0,192.0,1.0,9.750000026542693e-05,,,,
2027,273.67572021484375,209.53729248046875,0.009999999776482582,0.0,255.0,1.0,9.73999995039776e-05,,,,
2028,241.76425170898438,210.2342529296875,0.009999999776482582,0.0,198.0,1.0,9.729999874252826e-05,,,,
2029,210.4442596435547,210.1370086669922,0.009999999776482582,0.0,195.0,1.0,9.719999798107892e-05,,,,
2030,172.406982421875,209.48291015625,0.009999999776482582,0.0,166.0,1.0,9.709999721962959e-05,,,,
2031,93.82307434082031,208.12937927246094,0.009999999776482582,0.0,127.0,3.0,9.699999645818025e-05,,,,
2032,279.193115234375,208.73056030273438,0.009999999776482582,0.0,276.0,1.0,9.690000297268853e-05,,,,
2033,233.50442504882812,209.91802978515625,0.009999999776482582,0.0,201.0,1.0,9.680000221123919e-05,,,,
2034,156.5958251953125,209.96807861328125,0.009999999776482582,0.0,159.0,1.0,9.670000144978985e-05,,,,
